,degree,betweenness,closeness,eigenvector,clustering
Dechloromonas,108,8.749711766907595e-05,0.601123595505618,0.042744373667634686,0.9370024229837314
Peptostreptococcaceae,107,0.0001319080702948453,0.5988805970149254,0.04064006817439125,0.9058367131017457
Niastella_koreensis,107,0.00017990502543482133,0.6,0.04147048632337322,0.9079527420208077
Dongia_sp.,106,7.454579549622067e-05,0.5988805970149254,0.042095177750861745,0.9412398921832884
uncultured_Mollicutes,106,0.00039127470021800434,0.5988805970149254,0.03861068203207301,0.8404312668463612
Acinetobacter,105,0.00048505384215243697,0.5966542750929368,0.04009387907253379,0.8595238095238096
Hymenobacter,105,0.0,0.5977653631284916,0.041682473586126326,1.0
Ferruginibacter_sp.,105,0.000268568533607814,0.5977653631284916,0.03920792997396474,0.8705128205128205
Terrimonas,105,0.0,0.5977653631284916,0.04168247358612633,1.0
Ferruginibacter_profundus,105,0.0,0.5977653631284916,0.041682473586126326,1.0
Ferribacterium,105,0.0,0.5977653631284916,0.041682473586126326,1.0
Exiguobacterium,105,0.0,0.5977653631284916,0.041682473586126326,1.0
Rhodobacteraceae,105,0.0,0.5977653631284916,0.04168247358612633,1.0
Roseiarcus,105,0.0,0.5977653631284916,0.04168247358612633,1.0
Gemmatimonas,103,0.00014335547328255482,0.5955473098330241,0.03972261392744899,0.9105273177232058
Burkholderiales,103,0.00024866150998771174,0.5944444444444444,0.03733320947985904,0.8636969350847135
Acidisoma,100,5.662462710201023e-05,0.5911602209944752,0.04005115797765614,0.9531313131313132
Staphylococcus,100,0.0005624494143422577,0.5911602209944752,0.03574035428662128,0.8248484848484848
unidentified_actinomycete,100,0.00014841951998355448,0.5922509225092251,0.03901358496708732,0.9131313131313131
Armatimonadales,99,0.00025187627987966783,0.5900735294117647,0.03595774736284911,0.854875283446712
Chryseolinea,98,4.4633801698687794e-05,0.5889908256880734,0.039099596583155136,0.9627603618767094
Saccharimonadales,98,9.014981648027797e-05,0.5900735294117647,0.039258624114402056,0.938354723332632
uncultured_Planctomycetaceae,97,0.000187514499753127,0.5879120879120879,0.03593888162264601,0.8782216494845361
Gaiella,96,8.243226580785858e-05,0.5879120879120879,0.03743444081996892,0.9256578947368421
Gemmata,96,0.0001829836162195248,0.5879120879120879,0.03578589388865549,0.8918859649122807
Taibaiella,95,0.00029715279366131355,0.5857664233576643,0.03585839442016367,0.8783874580067189
Silene_dioica,95,0.00011394159871455422,0.5857664233576643,0.03595299982476732,0.9357222844344905
uncultured_actinomycete,92,0.00015493762139603091,0.5825771324863884,0.03510094172744703,0.8867654085045389
Devosia_limi,91,4.997834773373422e-05,0.5825771324863884,0.0368485424169195,0.9553113553113554
Persicaria_minor,90,0.0,0.5804701627486437,0.036531842159811596,1.0
Sphingoterrabacterium_koreensis,90,0.0,0.5804701627486437,0.036531842159811596,1.0
Mucilaginibacter_jinjuensis,90,6.04674515134077e-05,0.5815217391304348,0.03526459287545051,0.9403245942571785
Nakamurella,90,6.96257605189172e-05,0.5815217391304348,0.03491809488889003,0.9415730337078652
Streptococcus,90,0.00015462941613503551,0.5804701627486437,0.03340227906138345,0.8876404494382022
Fimbriiglobus,88,0.0,0.5794223826714802,0.03634659320096584,1.0
Mucilaginibacter_polytrichastri,86,0.00028633818776777916,0.5773381294964028,0.03252484830384281,0.8727770177838577
Mucilaginibacter_galii,84,7.1427666027042e-06,0.5752688172043011,0.03231829376588382,0.9948364888123924
